,House Name,House Price,House Bed,House Location,House Description
0,1 Bedroom+DEN- All inclusive- January Half Price!!,"1,142.00",,Ottawa 28/12/2022,1 Bedroom+DEN- All inclusive- January Half Price!!
1,1 Bedroom+DEN- All inclusive- January Half Price!!,"1,142.00",,Ottawa 28/12/2022,1 Bedroom+DEN- All inclusive- January Half Price!!
2,1 Bedroom Condo W/ Den in Downtown Toronto,"2,000.00",,Toronto < 5 hours ago,1 Bedroom Condo W/ Den in Downtown Toronto
3,Condo Apartment For Rent In Beamsville Utopia,"1,800.00",,Lincoln < 8 hours ago,Condo Apartment For Rent In Beamsville Utopia
4,Condo Apartment For Rent In Beamsville Utopia,"1,800.00",,Lincoln < 8 hours ago,Condo Apartment For Rent In Beamsville Utopia
5,695 Richmond - 2 Bedrooms For Rent,"1,575.00",,London < 11 hours ago,695 Richmond - 2 Bedrooms For Rent
6,1BR + den condo Kitchener (brand new),"1,850.00",,Kitchener < 11 hours ago,1BR + den condo Kitchener (brand new)
7,Lakefront condo for rent,"1,600.00",,Kenora < 12 hours ago,Lakefront condo for rent
8,Renovated one bedroom plus den condo beside Experimental Farm,"1,700.00",,Ottawa < 13 hours ago,Renovated one bedroom plus den condo beside Experimental Farm
9,Two Bed Two washroom brand new condo for lease( Windsor),"2,000.00",,Windsor < 18 hours ago,Two Bed Two washroom brand new condo for lease( Windsor)
10,2 Bedroom Condo for Rental ~ Plateau Gatineau,"1,655.00",,Gatineau 31/12/2022,2 Bedroom Condo for Rental ~ Plateau Gatineau
11,17 Eldon Hall 2Bed Apt,"1,850.00",,Kingston 31/12/2022,17 Eldon Hall 2Bed Apt
12,2 BR Condo with Panoramic view of Ottawa River,"1,499.00",,Gatineau 31/12/2022,2 BR Condo with Panoramic view of Ottawa River
13,1 bedroom +den fully renovated condo for with a walkout patio,"1,550.00",,St. Catharines 31/12/2022,1 bedroom +den fully renovated condo for with a walkout patio
14,2 Bed condo for rent . Amazing location !! 705 791 9877,"1,875.00",,Barrie 31/12/2022,2 Bed condo for rent . Amazing location !! 705 791 9877
15,"Brantford - 1bed + den, 1 bath BRAND NEW!","1,850.00",,Brantford 31/12/2022,"Brantford - 1bed + den, 1 bath BRAND NEW!"
16,2Br Condo For Rent,"1,900.00",,Hamilton 30/12/2022,2Br Condo For Rent
17,1 bdr sublet(Feb-Apr) or Lease assignment +1 month free,"1,780.00",,Gatineau 30/12/2022,1 bdr sublet(Feb-Apr) or Lease assignment +1 month free
18,Penthouse 1 Bedroom Condo for rent in South End Guelph,"2,000.00",,Guelph 30/12/2022,Penthouse 1 Bedroom Condo for rent in South End Guelph
19,SMART Never lived in One bedroom + Den Down town Kitchener,"1,870.00",,Kitchener / Waterloo 30/12/2022,SMART Never lived in One bedroom + Den Down town Kitchener
20,For Rent: 2 bed 1 bath Condo located in Findlay Creek,"2,000.00",,Ottawa 30/12/2022,For Rent: 2 bed 1 bath Condo located in Findlay Creek
21,UP TOWN WATERLOO,"1,800.00",,Kitchener / Waterloo 30/12/2022,UP TOWN WATERLOO
22,1 BED+DEN | 1 BATH - CONDO FOR RENT - KITCHENER | DUKE ST E,"1,745.00",,Kitchener / Waterloo 30/12/2022,1 BED+DEN | 1 BATH - CONDO FOR RENT - KITCHENER | DUKE ST E
23,1 BED+DEN | 1 BATH - CONDO FOR RENT - KITCHENER | FREDERICK ST,"1,845.00",,Kitchener / Waterloo 30/12/2022,1 BED+DEN | 1 BATH - CONDO FOR RENT - KITCHENER | FREDERICK ST
24,1+DEN BED | 2 BATH - CONDOMINIUM FOR RENT - KITCHENER,"1,945.00",,Kitchener / Waterloo 30/12/2022,1+DEN BED | 2 BATH - CONDOMINIUM FOR RENT - KITCHENER
25,Condo ORA II - Jardins McConnell *PROMOTION DISPONIBLE*,"1,820.00",,Gatineau 30/12/2022,Condo ORA II - Jardins McConnell *PROMOTION DISPONIBLE*
26,2550 Simcoe St UC Tower Condo For Rent,"1,900.00",,Oshawa / Durham Region 29/12/2022,2550 Simcoe St UC Tower Condo For Rent
27,Rental-Limoges-Condo,"1,575.00",,Ottawa 29/12/2022,Rental-Limoges-Condo
28,"Newer (2020) 2Bdm/1.5Bth Terrace Home, Orleans, Balcony, Pkg","1,850.00",,Ottawa 29/12/2022,"Newer (2020) 2Bdm/1.5Bth Terrace Home, Orleans, Balcony, Pkg"
29,"2 bed, 1.5 bath LOW-RISE CONDO for RENT!","1,900.00",,Ottawa 29/12/2022,"2 bed, 1.5 bath LOW-RISE CONDO for RENT!"
30,PORTAGE - CONDO LUXUEUX 2 CHAMBRES - LUXURY CONDO 2 BEDROOMS,"1,540.00",,Gatineau 29/12/2022,PORTAGE - CONDO LUXUEUX 2 CHAMBRES - LUXURY CONDO 2 BEDROOMS
31,Secteur Aylmer condo meublé fournis fully furnished,"1,825.00",,Gatineau 29/12/2022,Secteur Aylmer condo meublé fournis fully furnished
32,DISPONIBLE MAINTENANT- BEAU CONDO 2CHAMBRES POUR 1500$/MOIS,"1,500.00",,Gatineau 29/12/2022,DISPONIBLE MAINTENANT- BEAU CONDO 2CHAMBRES POUR 1500$/MOIS
33,FOR LEASE Vaughan and Toronto,"1,900.00",,Markham / York Region 29/12/2022,FOR LEASE Vaughan and Toronto
34,Furnished Condo for Rent in Downtown Toronto,"1,500.00",,City of Toronto 28/12/2022,Furnished Condo for Rent in Downtown Toronto
35,"2 Bedroom, 1 Bath. Ground floor. Parking. Available Jan 15.","1,500.00",,London 28/12/2022,"2 Bedroom, 1 Bath. Ground floor. Parking. Available Jan 15."
36,Vernon Views Legacy Lane Condo for Rent,"1,800.00",,Muskoka 28/12/2022,Vernon Views Legacy Lane Condo for Rent
37,BRAND NEW 1 Bedroom + Den Condo in Central Downtown Kitchener!,"1,995.00",,Kitchener / Waterloo 28/12/2022,BRAND NEW 1 Bedroom + Den Condo in Central Downtown Kitchener!
38,BRAND NEW 1 Bedroom + Den Condo in Central Downtown Kitchener!,"1,995.00",,Kitchener / Waterloo 28/12/2022,BRAND NEW 1 Bedroom + Den Condo in Central Downtown Kitchener!
39,NEW 1 BEDROOM + DEN CONDO IN DOWNTOWN BRANTFORD WITH PARKING,"1,700.00",,Brantford 28/12/2022,NEW 1 BEDROOM + DEN CONDO IN DOWNTOWN BRANTFORD WITH PARKING
40,Comfortable 2 Bedroom in downtown Hamilton,"1,750.00",,Hamilton 28/12/2022,Comfortable 2 Bedroom in downtown Hamilton
41,1 Bedroom+DEN- All inclusive- January Half Price!!,"1,142.00",,Ottawa 28/12/2022,1 Bedroom+DEN- All inclusive- January Half Price!!
42,1 Bedroom+DEN- All inclusive- January Half Price!!,"1,142.00",,Ottawa 28/12/2022,1 Bedroom+DEN- All inclusive- January Half Price!!
43,1 Bedroom+DEN- All inclusive- January Half Price!!,"1,142.00",,Ottawa 28/12/2022,1 Bedroom+DEN- All inclusive- January Half Price!!
44,1 Bedroom Condo W/ Den in Downtown Toronto,"2,000.00",,Toronto < 5 hours ago,1 Bedroom Condo W/ Den in Downtown Toronto
45,Condo Apartment For Rent In Beamsville Utopia,"1,800.00",,Lincoln < 8 hours ago,Condo Apartment For Rent In Beamsville Utopia
46,Condo Apartment For Rent In Beamsville Utopia,"1,800.00",,Lincoln < 8 hours ago,Condo Apartment For Rent In Beamsville Utopia
47,695 Richmond - 2 Bedrooms For Rent,"1,575.00",,London < 11 hours ago,695 Richmond - 2 Bedrooms For Rent
48,1BR + den condo Kitchener (brand new),"1,850.00",,Kitchener < 11 hours ago,1BR + den condo Kitchener (brand new)
49,Lakefront condo for rent,"1,600.00",,Kenora < 12 hours ago,Lakefront condo for rent
50,Renovated one bedroom plus den condo beside Experimental Farm,"1,700.00",,Ottawa < 13 hours ago,Renovated one bedroom plus den condo beside Experimental Farm
51,Two Bed Two washroom brand new condo for lease( Windsor),"2,000.00",,Windsor < 18 hours ago,Two Bed Two washroom brand new condo for lease( Windsor)
52,2 Bedroom Condo for Rental ~ Plateau Gatineau,"1,655.00",,Gatineau 31/12/2022,2 Bedroom Condo for Rental ~ Plateau Gatineau
53,17 Eldon Hall 2Bed Apt,"1,850.00",,Kingston 31/12/2022,17 Eldon Hall 2Bed Apt
54,2 BR Condo with Panoramic view of Ottawa River,"1,499.00",,Gatineau 31/12/2022,2 BR Condo with Panoramic view of Ottawa River
55,1 bedroom +den fully renovated condo for with a walkout patio,"1,550.00",,St. Catharines 31/12/2022,1 bedroom +den fully renovated condo for with a walkout patio
56,2 Bed condo for rent . Amazing location !! 705 791 9877,"1,875.00",,Barrie 31/12/2022,2 Bed condo for rent . Amazing location !! 705 791 9877
57,"Brantford - 1bed + den, 1 bath BRAND NEW!","1,850.00",,Brantford 31/12/2022,"Brantford - 1bed + den, 1 bath BRAND NEW!"
58,2Br Condo For Rent,"1,900.00",,Hamilton 30/12/2022,2Br Condo For Rent
59,1 bdr sublet(Feb-Apr) or Lease assignment +1 month free,"1,780.00",,Gatineau 30/12/2022,1 bdr sublet(Feb-Apr) or Lease assignment +1 month free
60,Penthouse 1 Bedroom Condo for rent in South End Guelph,"2,000.00",,Guelph 30/12/2022,Penthouse 1 Bedroom Condo for rent in South End Guelph
61,SMART Never lived in One bedroom + Den Down town Kitchener,"1,870.00",,Kitchener / Waterloo 30/12/2022,SMART Never lived in One bedroom + Den Down town Kitchener
62,For Rent: 2 bed 1 bath Condo located in Findlay Creek,"2,000.00",,Ottawa 30/12/2022,For Rent: 2 bed 1 bath Condo located in Findlay Creek
63,UP TOWN WATERLOO,"1,800.00",,Kitchener / Waterloo 30/12/2022,UP TOWN WATERLOO
64,1 BED+DEN | 1 BATH - CONDO FOR RENT - KITCHENER | DUKE ST E,"1,745.00",,Kitchener / Waterloo 30/12/2022,1 BED+DEN | 1 BATH - CONDO FOR RENT - KITCHENER | DUKE ST E
65,1 BED+DEN | 1 BATH - CONDO FOR RENT - KITCHENER | FREDERICK ST,"1,845.00",,Kitchener / Waterloo 30/12/2022,1 BED+DEN | 1 BATH - CONDO FOR RENT - KITCHENER | FREDERICK ST
66,1+DEN BED | 2 BATH - CONDOMINIUM FOR RENT - KITCHENER,"1,945.00",,Kitchener / Waterloo 30/12/2022,1+DEN BED | 2 BATH - CONDOMINIUM FOR RENT - KITCHENER
67,Condo ORA II - Jardins McConnell *PROMOTION DISPONIBLE*,"1,820.00",,Gatineau 30/12/2022,Condo ORA II - Jardins McConnell *PROMOTION DISPONIBLE*
68,2550 Simcoe St UC Tower Condo For Rent,"1,900.00",,Oshawa / Durham Region 29/12/2022,2550 Simcoe St UC Tower Condo For Rent
69,Rental-Limoges-Condo,"1,575.00",,Ottawa 29/12/2022,Rental-Limoges-Condo
70,"Newer (2020) 2Bdm/1.5Bth Terrace Home, Orleans, Balcony, Pkg","1,850.00",,Ottawa 29/12/2022,"Newer (2020) 2Bdm/1.5Bth Terrace Home, Orleans, Balcony, Pkg"
71,"2 bed, 1.5 bath LOW-RISE CONDO for RENT!","1,900.00",,Ottawa 29/12/2022,"2 bed, 1.5 bath LOW-RISE CONDO for RENT!"
72,PORTAGE - CONDO LUXUEUX 2 CHAMBRES - LUXURY CONDO 2 BEDROOMS,"1,540.00",,Gatineau 29/12/2022,PORTAGE - CONDO LUXUEUX 2 CHAMBRES - LUXURY CONDO 2 BEDROOMS
73,Secteur Aylmer condo meublé fournis fully furnished,"1,825.00",,Gatineau 29/12/2022,Secteur Aylmer condo meublé fournis fully furnished
74,DISPONIBLE MAINTENANT- BEAU CONDO 2CHAMBRES POUR 1500$/MOIS,"1,500.00",,Gatineau 29/12/2022,DISPONIBLE MAINTENANT- BEAU CONDO 2CHAMBRES POUR 1500$/MOIS
75,FOR LEASE Vaughan and Toronto,"1,900.00",,Markham / York Region 29/12/2022,FOR LEASE Vaughan and Toronto
76,Furnished Condo for Rent in Downtown Toronto,"1,500.00",,City of Toronto 28/12/2022,Furnished Condo for Rent in Downtown Toronto
77,"2 Bedroom, 1 Bath. Ground floor. Parking. Available Jan 15.","1,500.00",,London 28/12/2022,"2 Bedroom, 1 Bath. Ground floor. Parking. Available Jan 15."
78,Vernon Views Legacy Lane Condo for Rent,"1,800.00",,Muskoka 28/12/2022,Vernon Views Legacy Lane Condo for Rent
79,BRAND NEW 1 Bedroom + Den Condo in Central Downtown Kitchener!,"1,995.00",,Kitchener / Waterloo 28/12/2022,BRAND NEW 1 Bedroom + Den Condo in Central Downtown Kitchener!
80,BRAND NEW 1 Bedroom + Den Condo in Central Downtown Kitchener!,"1,995.00",,Kitchener / Waterloo 28/12/2022,BRAND NEW 1 Bedroom + Den Condo in Central Downtown Kitchener!
81,NEW 1 BEDROOM + DEN CONDO IN DOWNTOWN BRANTFORD WITH PARKING,"1,700.00",,Brantford 28/12/2022,NEW 1 BEDROOM + DEN CONDO IN DOWNTOWN BRANTFORD WITH PARKING
82,Comfortable 2 Bedroom in downtown Hamilton,"1,750.00",,Hamilton 28/12/2022,Comfortable 2 Bedroom in downtown Hamilton
83,1 Bedroom+DEN- All inclusive- January Half Price!!,"1,142.00",,Ottawa 28/12/2022,1 Bedroom+DEN- All inclusive- January Half Price!!
84,1 Bedroom Condo W/ Den in Downtown Toronto,"2,000.00",,Toronto < 5 hours ago,1 Bedroom Condo W/ Den in Downtown Toronto
85,Condo Apartment For Rent In Beamsville Utopia,"1,800.00",,Lincoln < 8 hours ago,Condo Apartment For Rent In Beamsville Utopia
86,Condo Apartment For Rent In Beamsville Utopia,"1,800.00",,Lincoln < 8 hours ago,Condo Apartment For Rent In Beamsville Utopia
87,695 Richmond - 2 Bedrooms For Rent,"1,575.00",,London < 11 hours ago,695 Richmond - 2 Bedrooms For Rent
88,1BR + den condo Kitchener (brand new),"1,850.00",,Kitchener < 11 hours ago,1BR + den condo Kitchener (brand new)
89,Lakefront condo for rent,"1,600.00",,Kenora < 12 hours ago,Lakefront condo for rent
90,Renovated one bedroom plus den condo beside Experimental Farm,"1,700.00",,Ottawa < 13 hours ago,Renovated one bedroom plus den condo beside Experimental Farm
91,Two Bed Two washroom brand new condo for lease( Windsor),"2,000.00",,Windsor < 18 hours ago,Two Bed Two washroom brand new condo for lease( Windsor)
92,2 Bedroom Condo for Rental ~ Plateau Gatineau,"1,655.00",,Gatineau 31/12/2022,2 Bedroom Condo for Rental ~ Plateau Gatineau
93,17 Eldon Hall 2Bed Apt,"1,850.00",,Kingston 31/12/2022,17 Eldon Hall 2Bed Apt
94,2 BR Condo with Panoramic view of Ottawa River,"1,499.00",,Gatineau 31/12/2022,2 BR Condo with Panoramic view of Ottawa River
95,1 bedroom +den fully renovated condo for with a walkout patio,"1,550.00",,St. Catharines 31/12/2022,1 bedroom +den fully renovated condo for with a walkout patio
96,2 Bed condo for rent . Amazing location !! 705 791 9877,"1,875.00",,Barrie 31/12/2022,2 Bed condo for rent . Amazing location !! 705 791 9877
97,"Brantford - 1bed + den, 1 bath BRAND NEW!","1,850.00",,Brantford 31/12/2022,"Brantford - 1bed + den, 1 bath BRAND NEW!"
98,2Br Condo For Rent,"1,900.00",,Hamilton 30/12/2022,2Br Condo For Rent
99,1 bdr sublet(Feb-Apr) or Lease assignment +1 month free,"1,780.00",,Gatineau 30/12/2022,1 bdr sublet(Feb-Apr) or Lease assignment +1 month free
100,Penthouse 1 Bedroom Condo for rent in South End Guelph,"2,000.00",,Guelph 30/12/2022,Penthouse 1 Bedroom Condo for rent in South End Guelph
101,SMART Never lived in One bedroom + Den Down town Kitchener,"1,870.00",,Kitchener / Waterloo 30/12/2022,SMART Never lived in One bedroom + Den Down town Kitchener
102,For Rent: 2 bed 1 bath Condo located in Findlay Creek,"2,000.00",,Ottawa 30/12/2022,For Rent: 2 bed 1 bath Condo located in Findlay Creek
103,UP TOWN WATERLOO,"1,800.00",,Kitchener / Waterloo 30/12/2022,UP TOWN WATERLOO
104,1 BED+DEN | 1 BATH - CONDO FOR RENT - KITCHENER | DUKE ST E,"1,745.00",,Kitchener / Waterloo 30/12/2022,1 BED+DEN | 1 BATH - CONDO FOR RENT - KITCHENER | DUKE ST E
105,1 BED+DEN | 1 BATH - CONDO FOR RENT - KITCHENER | FREDERICK ST,"1,845.00",,Kitchener / Waterloo 30/12/2022,1 BED+DEN | 1 BATH - CONDO FOR RENT - KITCHENER | FREDERICK ST
106,1+DEN BED | 2 BATH - CONDOMINIUM FOR RENT - KITCHENER,"1,945.00",,Kitchener / Waterloo 30/12/2022,1+DEN BED | 2 BATH - CONDOMINIUM FOR RENT - KITCHENER
107,Condo ORA II - Jardins McConnell *PROMOTION DISPONIBLE*,"1,820.00",,Gatineau 30/12/2022,Condo ORA II - Jardins McConnell *PROMOTION DISPONIBLE*
108,2550 Simcoe St UC Tower Condo For Rent,"1,900.00",,Oshawa / Durham Region 29/12/2022,2550 Simcoe St UC Tower Condo For Rent
109,Rental-Limoges-Condo,"1,575.00",,Ottawa 29/12/2022,Rental-Limoges-Condo
110,"Newer (2020) 2Bdm/1.5Bth Terrace Home, Orleans, Balcony, Pkg","1,850.00",,Ottawa 29/12/2022,"Newer (2020) 2Bdm/1.5Bth Terrace Home, Orleans, Balcony, Pkg"
111,"2 bed, 1.5 bath LOW-RISE CONDO for RENT!","1,900.00",,Ottawa 29/12/2022,"2 bed, 1.5 bath LOW-RISE CONDO for RENT!"
112,PORTAGE - CONDO LUXUEUX 2 CHAMBRES - LUXURY CONDO 2 BEDROOMS,"1,540.00",,Gatineau 29/12/2022,PORTAGE - CONDO LUXUEUX 2 CHAMBRES - LUXURY CONDO 2 BEDROOMS
113,Secteur Aylmer condo meublé fournis fully furnished,"1,825.00",,Gatineau 29/12/2022,Secteur Aylmer condo meublé fournis fully furnished
114,DISPONIBLE MAINTENANT- BEAU CONDO 2CHAMBRES POUR 1500$/MOIS,"1,500.00",,Gatineau 29/12/2022,DISPONIBLE MAINTENANT- BEAU CONDO 2CHAMBRES POUR 1500$/MOIS
115,FOR LEASE Vaughan and Toronto,"1,900.00",,Markham / York Region 29/12/2022,FOR LEASE Vaughan and Toronto
116,Furnished Condo for Rent in Downtown Toronto,"1,500.00",,City of Toronto 28/12/2022,Furnished Condo for Rent in Downtown Toronto
117,"2 Bedroom, 1 Bath. Ground floor. Parking. Available Jan 15.","1,500.00",,London 28/12/2022,"2 Bedroom, 1 Bath. Ground floor. Parking. Available Jan 15."
118,Vernon Views Legacy Lane Condo for Rent,"1,800.00",,Muskoka 28/12/2022,Vernon Views Legacy Lane Condo for Rent
119,BRAND NEW 1 Bedroom + Den Condo in Central Downtown Kitchener!,"1,995.00",,Kitchener / Waterloo 28/12/2022,BRAND NEW 1 Bedroom + Den Condo in Central Downtown Kitchener!
120,BRAND NEW 1 Bedroom + Den Condo in Central Downtown Kitchener!,"1,995.00",,Kitchener / Waterloo 28/12/2022,BRAND NEW 1 Bedroom + Den Condo in Central Downtown Kitchener!
121,NEW 1 BEDROOM + DEN CONDO IN DOWNTOWN BRANTFORD WITH PARKING,"1,700.00",,Brantford 28/12/2022,NEW 1 BEDROOM + DEN CONDO IN DOWNTOWN BRANTFORD WITH PARKING
122,Comfortable 2 Bedroom in downtown Hamilton,"1,750.00",,Hamilton 28/12/2022,Comfortable 2 Bedroom in downtown Hamilton
123,1 Bedroom+DEN- All inclusive- January Half Price!!,"1,142.00",,Ottawa 28/12/2022,1 Bedroom+DEN- All inclusive- January Half Price!!
